#   r_nom       meanr       meanlogr       xip          xim         xip_pm       xim_im     sigma_xip      npairs       weight    npairs_weighted
  6.9605e+00   6.9612e+00   1.9403e+00   2.6670e-05   3.9962e-05  -1.0609e-20   4.5865e-05   4.1263e-05   1.9200e+07   4.2256e+09   2.1631e+07
  7.1105e+00   7.1112e+00   1.9616e+00   5.9698e-06   3.0351e-05  -4.3338e-20  -4.1201e-05   4.0421e-05   2.0012e+07   4.4035e+09   2.2540e+07
  7.2638e+00   7.2645e+00   1.9830e+00   2.6792e-05   2.0814e-05  -4.1571e-20  -1.3543e-05   3.9628e-05   2.0826e+07   4.5814e+09   2.3454e+07
  7.4203e+00   7.4210e+00   2.0043e+00   4.0467e-05  -1.4905e-05   2.0929e-20  -1.8929e-05   3.8805e-05   2.1711e+07   4.7777e+09   2.4457e+07
  7.5803e+00   7.5809e+00   2.0256e+00   2.9310e-05   1.5049e-06   6.3226e-21  -2.9434e-07   3.8015e-05   2.2624e+07   4.9785e+09   2.5486e+07
  7.7436e+00   7.7444e+00   2.0469e+00  -1.7921e-05   1.3592e-05  -3.3233e-20  -3.8093e-06   3.7254e-05   2.3560e+07   5.1839e+09   2.6537e+07
  7.9105e+00   7.9112e+00   2.0683e+00  -3.0932e-05  -2.1973e-05  -5.9430e-21   4.7478e-06   3.6492e-05   2.4563e+07   5.4027e+09   2.7662e+07
  8.0810e+00   8.0818e+00   2.0896e+00  -8.2376e-06   7.8854e-06   2.2620e-20  -4.7939e-06   3.5756e-05   2.5582e+07   5.6276e+09   2.8813e+07
  8.2552e+00   8.2559e+00   2.1109e+00   4.7633e-05   6.6415e-06   6.6330e-20   1.7812e-05   3.5021e-05   2.6670e+07   5.8661e+09   3.0033e+07
  8.4331e+00   8.4339e+00   2.1322e+00  -1.8658e-05  -5.7558e-06   3.9085e-20  -1.7945e-05   3.4314e-05   2.7776e+07   6.1099e+09   3.1284e+07
  8.6148e+00   8.6156e+00   2.1536e+00   5.2758e-05  -9.4736e-06  -8.9325e-20   8.2883e-06   3.3614e-05   2.8944e+07   6.3669e+09   3.2598e+07
